cell line	cellosaurus name	cellosaurus accession	bto cell line	organism	organism part	sampling site	age	developmental stage	sex	ancestry category	disease	cell type	Material type	synonyms	curated
MES-SA	MES-SA	CVCL_1404	not available	Homo Sapiens	Uterus	Uterus	56Y	Adult	Female	Caucasian	Uterine corpus sarcoma	not available	cell	MESSA	curated
MFE-280	MFE-280	CVCL_1405	not available	Homo Sapiens	Endometrium	Endometrium	77Y	Elderly	Female	Caucasian	Endometrial adenocarcinoma	not available	cell	MFE 280; MFE280	curated
MFE-296	MFE-296	CVCL_1406	not available	Homo Sapiens	Endometrium	Endometrium	68Y	Elderly	Female	Caucasian	Endometrial adenocarcinoma	not available	cell	MFE296; MFE 296	curated
MFH-ino	MFH-ino	CVCL_1407	not available	Homo Sapiens	Soft Tissue	not available	45Y	Adult	Female	Japanese	Undifferentiated pleomorphic sarcoma	not available	cell	MFHINO; MFH-INO	curated
MFM-223	MFM-223	CVCL_1408	MFM-223 cell	Homo Sapiens	Breast	Pleural effusion	>45Y	not available	Female	Caucasian	Breast carcinoma	not available	cell	MFM223 CELL; MFM223	curated
MHH-CALL-2	MHH-CALL-2	CVCL_1409	not available	Homo Sapiens	Blood	Peripheral blood	15Y	Juvenile	Female	Caucasian	B-cell childhood acute lymphoblastic leukemia	not available	cell	MHH-CALL2; MHH-CALL 2; MHHCALL2	curated
MHH-CALL-4	MHH-CALL-4	CVCL_1410	not available	Homo Sapiens	Blood	Peripheral blood	10Y	Children	Male	Caucasian	B-cell childhood acute lymphoblastic leukemia	not available	cell	MHH-CALL4; MHHCALL4	curated
MHH-ES-1	MHH-ES-1	CVCL_1411	not available	Homo Sapiens	Bone	Ascites	12Y	Juvenile	Male	Caucasian	Ewing sarcoma	not available	cell	MHH-ES1; MHHES1	curated
MHH-NB-11	MHH-NB-11	CVCL_1412	not available	Homo Sapiens	Adrenal Gland	Adrenal tissue	4Y	Children	Male	Caucasian	Neuroblastoma	not available	cell	MHHNB11; MHH-NB11	curated
MHH-PREB-1	MHH-PREB-1	CVCL_1413	not available	Homo Sapiens	Haematopoietic and Lymphoid	Lymph node	5Y	Children	Male	Caucasian	B-cell non-hodgkin lymphoma	not available	cell	MHHPREB1	curated
MJ	MJ	CVCL_1414	not available	Homo Sapiens	Blood	Peripheral blood	50Y	Adult	Male	Caucasian	Primary cutaneous t-cell non-hodgkin lymphoma	T cell	cell	G11	curated
MKN1	MKN1	CVCL_1415	MKN-1 cell	Homo Sapiens	Stomach	Lymph node	72Y	Elderly	Male	Japanese	Gastric adenosquamous carcinoma	not available	cell	MKN-1; MKN 1; MKN1 CELL	curated
MKN28	MKN28	CVCL_1416	MKN-28 cell	Homo Sapiens	Stomach	Liver	37Y	Adult	Male	Japanese	Gastric tubular adenocarcinoma	not available	cell	MKN-28; MKN28 CELL; MKN 28 CELL; MKN 28	curated
MKN7	MKN7	CVCL_1417	MKN-7 cell	Homo Sapiens	Stomach	Lymph node; Stomach	39Y	Adult	Male	Japanese	Gastric tubular adenocarcinoma	not available	cell	MKN7 CELL; MKN 7; MKN-7	curated
ML-2	ML-2	CVCL_1418	ML-2 cell	Homo Sapiens	Blood	Peripheral blood	26Y	Adult	Male	Caucasian	Acute myeloid leukemia	not available	cell	ML2	curated
MLMA	MLMA	CVCL_1419	not available	Homo Sapiens	Haematopoietic and Lymphoid	Peritoneal effusion	32Y	Adult	Female	Japanese	Hairy cell leukemia	not available	cell	MLMA	curated
MMAc-SF	MMAc-SF	CVCL_1420	not available	Homo Sapiens	Skin	Ascites	39Y	Adult	Female	Japanese	Melanoma	not available	cell	MMAC.SF; MMACSF; MMAC-SERUM FREE; MMAC-SF	curated
MN-60	MN-60	CVCL_1421	not available	Homo Sapiens	Blood	Peripheral blood	20Y	Adult	Male	Caucasian	Burkitt lymphoma	B cell	cell	MN 60; MN60	curated
MOLT-13	MOLT-13	CVCL_1422	MOLT-13 cell	Homo Sapiens	Bone Marrow	Bone marrow	2Y	Infant	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	MOLT13; MOLT 13; MOLT-13	curated
MOLT-14	MOLT-14	CVCL_1423	MOLT-14 cell	Homo Sapiens	Bone Marrow	Bone marrow	2Y	Infant	Female	Caucasian	T-cell childhood acute lymphocytic leukemia	T cell	cell	MOLT 14; MOLT14; MOLT-14	curated
MOLT-16	MOLT-16	CVCL_1424	MOLT-16 cell	Homo Sapiens	Blood	Peripheral blood	5Y	Children	Female	African American	T-cell childhood acute lymphocytic leukemia	T cell	cell	MOLT-16; MOLT16; MOLT 16	curated
MONO-MAC-1	Mono-Mac-1	CVCL_1425	Mono-Mac-1 cell	Homo Sapiens	Blood	Peripheral blood	64Y	Adult	Male	Caucasian	Adult acute monocytic leukemia	not available	cell	MONOMAC-1; MONO-MAC-1 CELL; MM1; MONOMAC1; MONO MAC 1 CELL; MONO-MAC-1; MONO MAC 1; MONOMAC1 CELL; MM1 CELL	curated
MONO-MAC-6	Mono-Mac-6	CVCL_1426	Mono-Mac-6 cell	Homo Sapiens	Blood	Peripheral blood	64Y	Adult	Male	Caucasian	Adult acute monocytic leukemia	monocyte	cell	MONOMAC 6; MONO MAC 6; MONO MAC6; MONO-MAC-6; MONO-MAC-6 CELL; MONOMAC6 CELL; MONO MAC 6 CELL; MONOMAC6; MONO-MAC 6; MM6; MM6 CELL	curated
MPP-89	MPP 89	CVCL_1427	not available	Homo Sapiens	Lung	Pleural effusion	67Y	Elderly	Male	Caucasian	Pleural epithelioid mesothelioma	not available	cell	MPP89; MPP-89	curated
MRK-nu-1	MRK-nu-1	CVCL_1428	MRK-nu-1 cell	Homo Sapiens	Breast	Mammary gland; Pleural effusion	46Y	Adult	Female	Japanese	Breast carcinoma	not available	cell	MRKNU-1; MRKNU1; MRK-NU1; MRK-NU-I; MRK-NU-1	curated
MS-1	MS-1 [Human lung carcinoma]	CVCL_1429	not available	Homo Sapiens	Lung	Pleural effusion	54Y	Adult	Male	Japanese	Small cell lung carcinoma	not available	cell	MS-1-L; MS1	curated
MSTO-211H	MSTO-211H	CVCL_1430	MSTO-211H cell	Homo Sapiens	Lung	Pleural effusion	62Y	Adult	Male	Caucasian	Pleural biphasic mesothelioma	not available	cell	MSTO-211; MSTO-211 H; MESOTHELIOMA-211H; NAN; MSTO-211 H CELL; 211H; 211H CELL; MSTO211H	curated
MUTZ-1	MUTZ-1	CVCL_1431	not available	Homo Sapiens	Haematopoietic and Lymphoid	not available	3Y	Children	Female	African; Kenyan	Burkitt lymphoma	B cell	cell	MUTZ-1; MENSCHLICHE UND TIERISCHE ZELLKULTURE-1; MUTZ1	curated
MUTZ-3	MUTZ-3	CVCL_1433	not available	Homo Sapiens	Blood	Peripheral blood	29Y	Adult	Male	not available	Acute myeloid leukemia	not available	cell	MUTZ-3; MENSCHLICHE UND TIERISCHE ZELLKULTURE-3; MUTZ3	curated
MZ1-PC	MZ-PC-1	CVCL_1434	not available	Homo Sapiens	Pancreas	Pleural effusion	46Y	Adult	Male	Caucasian	Pancreatic ductal adenocarcinoma	not available	cell	MZ1-PC; MZPC-1; MZ-PC-1; MZ1PC; MAINZ-PANCREATIC CANCER-1	curated
MZ2-MEL	MZ-MEL-2	CVCL_1435	not available	Homo Sapiens	Skin	Abdomen	not available	not available	not available	Caucasian	Melanoma	not available	cell	MZ2-MEL; MZ MEL 2; MZ-2 MEL; MZ-MEL-2; MZ2MEL	curated
MZ7-mel	MZ-MEL-7	CVCL_1436	not available	Homo Sapiens	Skin	Spleen	25Y-26Y	Adult	Female	Caucasian	Melanoma	not available	cell	MZ7-MEL; MZ7; MZ-MEL-7; MZ7MEL	curated
Malme-3	Malme-3	CVCL_1437	MALME-3 cell	Homo Sapiens	Skin	Skin	43Y	Adult	Male	Caucasian	Non-cancerous	skin fibroblast	cell	MALME-3; MALME-3 CELL	curated
Malme-3M	Malme-3M	CVCL_1438	MALME-3M cell	Homo Sapiens	Skin	Lung	43Y	Adult	Male	Caucasian	Melanoma	not available	cell	MALME-3M CELL; MALME3M; MALME.3M; MALME-3 MONOLAYER; MALME-3 M; MALME-3M; MALME 3M	curated
Mo-T	Mo	CVCL_1439	Mo-T cell	Homo Sapiens	Haematopoietic and Lymphoid	Spleen	33Y	Adult	Male	Caucasian	Hairy cell leukemia	T cell	cell	MO; MO CELL; MOT; MO-T; MO T CELL; MO T	curated
NB10	SJNB-10	CVCL_1441	SJNB-10 cell	Homo Sapiens	Peripheral Nervous System	not available	2Y	Infant	Male	Caucasian	Neuroblastoma	not available	cell	SJ-NB10; SJNB10 CELL; SJNB10; NB10-DH; SJNB-10; NB 90-9; SJ-NB-10; SJ-NB-10 CELL; NB90-9; NB10	curated
NB12	SJNB-12	CVCL_1442	SJNB-12 cell	Homo Sapiens	Peripheral Nervous System	Bone marrow	10M	not available	Female	Caucasian	Neuroblastoma	not available	cell	SJNB12 CELL; NB12; SJ-NB-12 CELL; SJ-NB12; SJNB-12; SJ-NB-12; SJNB12	curated
NB13	SJNB-13	CVCL_1443	not available	Homo Sapiens	Peripheral Nervous System	not available	1Y	Infant	Male	African American	Neuroblastoma	not available	cell	SJNB13; SJNB-13; NB13-DH; NB13	curated
NB14	SJNB-14	CVCL_1444	NB14 cell	Homo Sapiens	Peripheral Nervous System	not available	1Y	Infant	Female	Caucasian	Neuroblastoma	not available	cell	NCC; NB14; NB14-DH; SJNB-14; SJNB14	curated
NB17	SJNB-17	CVCL_1445	not available	Homo Sapiens	Peripheral Nervous System	not available	1Y	Infant	Female	Caucasian	Neuroblastoma	not available	cell	SJNB-17; NB17-DH; SJNB17; NB17	curated
NB69	NB69	CVCL_1448	NB-69 cell	Homo Sapiens	Peripheral Nervous System	not available	1Y	Infant	Male	Caucasian	Neuroblastoma	not available	cell	NB 69; NB-69; NB_69; NB69 CELL; NB69-RIKEN	curated
NBsusSR	NBsusSR	CVCL_1450	not available	Homo Sapiens	Peripheral Nervous System	not available	18Y	Adult	Male	Japanese	Neuroblastoma	not available	cell	NBSUSSR	curated
NCCIT	NCC-IT	CVCL_1451	NCCIT cell	Homo Sapiens	Testis	Mediastinum	24Y	Adult	Male	Japanese	Testicular embryonal carcinoma	not available	cell	NCCIT	curated
NCI-ADR-RES	NCI-ADR-RES	CVCL_1452	NCI/ADR-RES cell	Homo Sapiens	Ovary	not available	64Y	Adult	Female	Caucasian	High grade ovarian serous adenocarcinoma	not available	cell	MCF-7/ADR-RES; MCF-7/ADRR; OVCAR8/ADR; NCIADR.RES; NCI/ADR-RES; MCF-7ADR; MCF7ADR CELL; NCI-ADR-RES CELL; OVCAR8/ADR CELL; MCF-7/ADR; OVCAR-8/ADR; NCIADRRES; MCF-7/ADR CELL; MCF-7/ADRR CELL; OVCAR-8/ADR CELL; NCI/ADR CELL; ADR-RES; NCI/ADRRES; MCF7ADR; NCI.ADR.RES; MCF7-ADR	curated
NCI-H1048	NCI-H1048	CVCL_1453	NCI-H1048 cell	Homo Sapiens	Lung	Pleural effusion	53Y	Adult	Female	African American	Small cell lung carcinoma	not available	cell	H-1048 CELL; H1048; H-1048; H1048 CELL; NCIH1048	curated
NCI-H1092	NCI-H1092	CVCL_1454	not available	Homo Sapiens	Lung	Bone marrow	67Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	H1092; H-1092; NCIH1092	curated
NCI-H1105	NCI-H1105	CVCL_1455	not available	Homo Sapiens	Lung	Lymph node	73Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1105; NCIH1105; H1105	curated
NCI-H1155	NCI-H1155	CVCL_1456	NCI-H1155 cell	Homo Sapiens	Lung	Lymph node	36Y	Adult	Male	Caucasian	Lung large cell carcinoma	not available	cell	NCIH1155; H-1155; H1155 CELL; H1155; NCI-1155	curated
NCI-H1184	NCI-H1184	CVCL_1458	not available	Homo Sapiens	Lung	Lymph node	42Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1184; H1184; NCIH1184	curated
NCI-H128	NCI-H128	CVCL_1460	NCI-H128 cell	Homo Sapiens	Lung	Pleural effusion	60Y	Adult	Male	African American	Small cell lung carcinoma	not available	cell	H128 CELL; H-128; NCI-128; H128; NCIH128; H-128 CELL; NCI-H-128	curated
NCI-H1304	NCI-H1304	CVCL_1462	not available	Homo Sapiens	Lung	not available	not available	not available	Female	Caucasian	Small cell lung carcinoma	not available	cell	NCIH1304; H-1304; H1304	curated
NCI-H1341	NCI-H1341	CVCL_1463	not available	Homo Sapiens	Lung	Cervix; Uterus	26Y	Adult	Female	Caucasian	Small cell lung carcinoma	not available	cell	H-1341; H1341; NCIH1341	curated
NCI-H1355	NCI-H1355	CVCL_1464	NCI-H1355 cell	Homo Sapiens	Lung	Pleural effusion	53Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1355; H-1355; H1355; H-1355 CELL; H1355 CELL; NCIH1355 CELL	curated
NCI-H1373	NCI-H1373	CVCL_1465	not available	Homo Sapiens	Lung	Lung	56Y	Adult	Male	African American	Lung adenocarcinoma	not available	cell	H1373; H-1373; NCIH1373	curated
NCI-H1385	NCI-H1385	CVCL_1466	not available	Homo Sapiens	Lung	Lymph node	49Y	Adult	Female	African American	Squamous cell lung carcinoma	not available	cell	H-1385; H1385; NCIH1385	curated
NCI-H1395	NCI-H1395	CVCL_1467	not available	Homo Sapiens	Lung	Lung	55Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H-1395; NCIH1395; H1395	curated
NCI-H1417	NCI-H1417	CVCL_1469	not available	Homo Sapiens	Lung	Lung	61Y	Adult	Female	Caucasian	Small cell lung carcinoma	not available	cell	H1417; H-1417; NCIH1417	curated
NCI-H1435	NCI-H1435	CVCL_1470	NCI-H1435 cell	Homo Sapiens	Lung	Lung	35Y	Adult	Female	not available	Lung adenocarcinoma	not available	cell	H-1435; NCIH1435; H1435; H-1435 CELL; H1435 CELL	curated
NCI-H1436	NCI-H1436	CVCL_1471	not available	Homo Sapiens	Lung	Lymph node	39Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1436; NCIH1436; H1436	curated
NCI-H1437	NCI-H1437	CVCL_1472	NCI-H1437 cell	Homo Sapiens	Lung	Pleural effusion	60Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	H1437 CELL; H1437; NCIH1437; H-1437	curated
NCI-H146	NCI-H146	CVCL_1473	NCI-H146 cell	Homo Sapiens	Lung	Bone marrow	59Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H146 CELL; H146; H-146; H-146 CELL; NCIH146	curated
NCI-H1563	NCI-H1563	CVCL_1475	not available	Homo Sapiens	Lung	Lung	not available	not available	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1563; H-1563; H1563	curated
NCI-H1568	NCI-H1568	CVCL_1476	not available	Homo Sapiens	Lung	Lymph node	48Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1568; H1568; H-1568	curated
NCI-H1573	NCI-H1573	CVCL_1478	not available	Homo Sapiens	Lung	Lung; Soft tissue	35Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	NAN; H1573; H-1573; NCIH1573	curated
NCI-H1581	NCI-H1581	CVCL_1479	NCI-H1581 cell	Homo Sapiens	Lung	Lung	44Y	Adult	Male	Caucasian	Lung large cell carcinoma	not available	cell	NCIH1581 CELL; H1581; NCI-H 1581 CELL; NCIH1581; H-1581; H1581 CELL; H-1581 CELL; NCI-H-1581 CELL	curated
NCI-H1618	NCI-H1618	CVCL_1480	not available	Homo Sapiens	Lung	Bone marrow	55Y	Adult	Female	Caucasian	Small cell lung carcinoma	not available	cell	H-1618; NCIH1618; H1618	curated
NCI-H1623	NCI-H1623	CVCL_1481	not available	Homo Sapiens	Lung	Lymph node	58Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1623; H-1623; H1623	curated
NCI-H1648	NCI-H1648	CVCL_1482	not available	Homo Sapiens	Lung	Lymph node	39Y	Adult	Male	African American	Lung adenocarcinoma	not available	cell	H1648; H-1648; NCIH1648	curated
NCI-H1650	NCI-H1650	CVCL_1483	NCI-H1650 cell	Homo Sapiens	Lung	Pleural effusion	27Y	Adult	Male	Caucasian	Minimally invasive lung adenocarcinoma	not available	cell	H1650; NCIH1650; H-1650; H1650_CO; H1650 CELL; H-1650 CELL	curated
NCI-H1651	NCI-H1651	CVCL_1484	not available	Homo Sapiens	Lung	Lung	71Y	Elderly	Male	Caucasian	Lung adenocarcinoma	not available	cell	H-1651; NCIH1651; H1651	curated
NCI-H1666	NCI-H1666	CVCL_1485	not available	Homo Sapiens	Lung	Pleural effusion	50Y	Adult	Female	Caucasian	Minimally invasive lung adenocarcinoma	not available	cell	H1666; H1666_DA; NCIH1666; H-1666	curated
NCI-H1688	NCI-H1688	CVCL_1487	NCI-H1688 cell	Homo Sapiens	Lung	Liver	50Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H1688; H-1688; H1688 CELL; NCIH1688; H-1688 CELL	curated
NCI-H1693	NCI-H1693	CVCL_1488	not available	Homo Sapiens	Lung	Lymph node	55Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H1693; NCIH1693; H-1693	curated
NCI-H1694	NCI-H1694	CVCL_1489	not available	Homo Sapiens	Lung	Ascites	61Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	NCIH1694; H-1694; H1694	curated
NCI-H1703	NCI-H1703	CVCL_1490	NCI-H1703 cell	Homo Sapiens	Lung	Lung	54Y	Adult	Male	Caucasian	Squamous cell lung carcinoma	not available	cell	NCI-H 1703 CELL; H1703; H-1703; H-1703 CELL; NAN; NCIH1703; H1703 CELL	curated
NCI-H1734	NCI-H1734	CVCL_1491	not available	Homo Sapiens	Lung	Lung	56Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1734; H1734; H-1734	curated
NCI-H1755	NCI-H1755	CVCL_1492	not available	Homo Sapiens	Lung	Liver	65Y	Elderly	Female	Caucasian	Lung adenocarcinoma	not available	cell	H-1755; NCIH1755; H1755	curated
NCI-H1770	NCI-H1770	CVCL_1493	not available	Homo Sapiens	Lung	Lymph node	57Y	Adult	Male	Caucasian	Non-small cell lung carcinoma	not available	cell	NCIH1770; H1770; H-1770	curated
NCI-H1781	NCI-H1781	CVCL_1494	not available	Homo Sapiens	Lung	Pleural effusion	66Y	Elderly	Female	Caucasian	Minimally invasive lung adenocarcinoma	not available	cell	H1781; H-1781; NCIH1781	curated
NCI-H1792	NCI-H1792	CVCL_1495	NCI-H1792 cell	Homo Sapiens	Lung	Pleural effusion	50Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	H1792; H-1792; H-1792 CELL; H1792 CELL; NCIH1792	curated
NCI-H1793	NCI-H1793	CVCL_1496	not available	Homo Sapiens	Lung	Lung	52Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H1793; H-1793; NCIH1793	curated
NCI-H1819	NCI-H1819	CVCL_1497	not available	Homo Sapiens	Lung	Lymph node	55Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H-1819; NCIH1819; H1819	curated
NCI-H1836	NCI-H1836	CVCL_1498	NCI-H1836 cell	Homo Sapiens	Lung	Lung	52Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1836; H1836 CELL; H1836; NCIH1836	curated
NCI-H1838	NCI-H1838	CVCL_1499	NCI-H1838 cell	Homo Sapiens	Lung	Lung	not available	not available	Female	Caucasian	Lung adenocarcinoma	not available	cell	H-1838; H1838 CELL; NCIH1838; H-1838 CELL; H1838	curated
NCI-H1869	NCI-H1869	CVCL_1500	not available	Homo Sapiens	Lung	Pleural effusion; Lung	58Y	Adult	Male	Caucasian	Lung squamous cell carcinoma	not available	cell	NCIH1869; H1869; H-1869	curated
NCI-H187	NCI-H187	CVCL_1501	NCI-H187 cell	Homo Sapiens	Lung	Pleural effusion	47Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-187; NCIH187; H-187 CELL; H187 CELL; H187	curated
NCI-H1870	NCI-H1870	CVCL_1502	not available	Homo Sapiens	Lung	not available	not available	not available	Female	Caucasian	Small cell lung carcinoma	not available	cell	H1870; H-1870	curated
NCI-H1876	NCI-H1876	CVCL_1503	not available	Homo Sapiens	Lung	Lymph node	59Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1876; H1876; NCIH1876	curated
NCI-H1882	NCI-H1882	CVCL_1504	not available	Homo Sapiens	Lung	Bone marrow	59Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H-1882; H1882	curated
NCI-H1915	NCI-H1915	CVCL_1505	NCI-H1915 cell	Homo Sapiens	Lung	Lung	61Y	Adult	Female	Caucasian	Non-small cell lung carcinoma	not available	cell	H-1915; H1915 CELL; NCIH1915; H1915	curated
NCI-H1930	NCI-H1930	CVCL_1507	not available	Homo Sapiens	Lung	Lymph node	41Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H1930; NCIH1930; H-1930	curated
NCI-H1944	NCI-H1944	CVCL_1508	NCI-H1944 cell	Homo Sapiens	Lung	Lung; Soft tissue	62Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H-1944 CELL; H-1944; H1944; H1944 CELL; NCIH1944	curated
NCI-H196	NCI-H196	CVCL_1509	NCI-H196 cell	Homo Sapiens	Lung	Pleural effusion	68Y	Elderly	Male	Caucasian	Small cell lung carcinoma	not available	cell	H196; H-196 CELL; NCIH196; H196 CELL; H-196	curated
NCI-H1963	NCI-H1963	CVCL_1510	NCI-H1963 cell	Homo Sapiens	Lung	Lung	56Y	Adult	Male	African American	Small cell lung carcinoma	not available	cell	H1963 CELL; NCIH1963; H-1963; H1963; H-1963 CELL	curated
NCI-H1975	NCI-H1975	CVCL_1511	NCI-H1975 cell	Homo Sapiens	Lung	Lung	not available	not available	Female	Caucasian	Lung adenocarcinoma	not available	cell	NAN; H-1975 CELL; H1975 CELL; H-1975; NCIH1975; H1975	curated
NCI-H1993	NCI-H1993	CVCL_1512	not available	Homo Sapiens	Lung	Lymph node	47Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	NCIH1993; H-1993; H1993	curated
NCI-H2009	NCI-H2009	CVCL_1514	NCI-H2009 cell	Homo Sapiens	Lung	Lymph node	68Y	Elderly	Female	Caucasian	Lung adenocarcinoma	not available	cell	NAN; H2009 CELL; H2009; NCIH2009; H-2009	curated
NCI-H2023	NCI-H2023	CVCL_1515	not available	Homo Sapiens	Lung	Lymph node; Lung	26Y	Adult	Male	Caucasian	Squamous cell lung carcinoma; Lung adenocarcinoma	not available	cell	H-2023; NCIH2023; H2023	curated
NCI-H2029	NCI-H2029	CVCL_1516	NCI-H2029 cell	Homo Sapiens	Lung	Lymph node	69Y	Elderly	Female	Caucasian	Small cell lung carcinoma	not available	cell	H2029; H-2029 CELL; H-2029; NCIH2029; H2029 CELL	curated
NCI-H2030	NCI-H2030	CVCL_1517	NCI-H2030 cell	Homo Sapiens	Lung	Lymph node	not available	not available	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH2030 CELL; H2030; H-2030; NCIH2030; H-2030 CELL; H2030 CELL	curated
NCI-H2052	NCI-H2052	CVCL_1518	not available	Homo Sapiens	Lung	Pleural effusion	65Y	Elderly	Male	Caucasian	Pleural sarcomatoid mesothelioma	not available	cell	H2052_MM; H-2052; NAN; NCIH2052; H2052	curated
NCI-H2066	NCI-H2066	CVCL_1520	not available	Homo Sapiens	Lung	Lung	70Y	Elderly	Female	Caucasian	Squamous cell lung carcinoma	not available	cell	H-2066; H2066; NCIH2066	curated
NCI-H2073	NCI-H2073	CVCL_1521	not available	Homo Sapiens	Lung	Lung	47Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	NCIH2073; H-2073; H2073	curated
NCI-H2081	NCI-H2081	CVCL_1522	not available	Homo Sapiens	Lung	Pleural effusion	59Y	Adult	Female	Caucasian	Small cell lung carcinoma	not available	cell	H-2081; NCIH2081; H2081	curated
NCI-H2085	NCI-H2085	CVCL_1523	not available	Homo Sapiens	Lung	Lung	45Y	Adult	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH2085; H-2085; H2085	curated
NCI-H2087	NCI-H2087	CVCL_1524	NCI-H2087 cell	Homo Sapiens	Lung	Lymph node	69Y	Elderly	Male	Caucasian	Lung adenocarcinoma	not available	cell	NCIH2087; H2087; H2087 CELL; H-2087	curated
NCI-H209	NCI-H209	CVCL_1525	NCI-H209 cell	Homo Sapiens	Lung	Bone marrow	55Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H209; NCIH209; H-209; H-209 CELL; H209 CELL	curated
NCI-H2106	NCI-H2106	CVCL_1526	not available	Homo Sapiens	Lung	Lymph node	58Y	Adult	Male	Caucasian	Lung large cell carcinoma	not available	cell	NCIH2106; H2106; H-2106; NCI H2106	curated
NCI-H211	NCI-H211	CVCL_1529	NCI-H211 cell	Homo Sapiens	Lung	Bone marrow	50Y	Adult	Female	Caucasian	Small cell lung carcinoma	not available	cell	H-211; H211 CELL; NCIH211; H211	curated
NCI-H2110	NCI-H2110	CVCL_1530	NCI-H2110 cell	Homo Sapiens	Lung	Pleural effusion	not available	not available	not available	African American	Non-small cell lung carcinoma	not available	cell	H2110; NCIH2110; H-2110; H-2110 CELL; H2110 CELL	curated
NCI-H2122	NCI-H2122	CVCL_1531	NCI-H2122 cell	Homo Sapiens	Lung	Pleural effusion	46Y	Adult	Female	Caucasian	Lung adenocarcinoma	not available	cell	H2122; NCIH2122; H2122 CELL; H-2122; H-2122 CELL	curated
NCI-H2126	NCI-H2126	CVCL_1532	NCI-H2126 cell	Homo Sapiens	Lung	Peripheral blood; Pleural effusion	65Y	Elderly	Male	Caucasian	Lung large cell carcinoma	not available	cell	H2126 CELL; H-2126; H-2126 CELL; NCIH2126; H2126	curated
NCI-H2135	NCI-H2135	CVCL_1533	not available	Homo Sapiens	Lung	not available	not available	not available	not available	Caucasian	Non-small cell lung carcinoma	not available	cell	H2135; NCIH2135; H-2135	curated
NCI-H2141	NCI-H2141	CVCL_1534	NCI-H2141 cell	Homo Sapiens	Lung	Lymph node	58Y	Adult	Male	Caucasian	Small cell lung carcinoma	not available	cell	H2141 CELL; H2141; NCIH2141; H-2141	curated
